"IMDBCode","DATE","X1","X2","X3"
"tt1745960",2022-06-04,"10","39.5%",38155
"tt1745960",2022-06-04,"9","29.5%",28488
"tt1745960",2022-06-04,"8","20.2%",19443
"tt1745960",2022-06-04,"7","7.2%",6951
"tt1745960",2022-06-04,"6","1.8%",1737
"tt1745960",2022-06-04,"5","0.5%",523
"tt1745960",2022-06-04,"4","0.2%",232
"tt1745960",2022-06-04,"3","0.1%",144
"tt1745960",2022-06-04,"2","0.2%",150
"tt1745960",2022-06-04,"1","0.7%",654
"tt4513678",2022-06-04,"10","14.7%",22354
"tt4513678",2022-06-04,"9","11.7%",17838
"tt4513678",2022-06-04,"8","24.4%",37216
"tt4513678",2022-06-04,"7","25.4%",38695
"tt4513678",2022-06-04,"6","13.3%",20335
"tt4513678",2022-06-04,"5","5.2%",7892
"tt4513678",2022-06-04,"4","2.2%",3340
"tt4513678",2022-06-04,"3","1.1%",1706
"tt4513678",2022-06-04,"2","0.7%",1101
"tt4513678",2022-06-04,"1","1.2%",1855
"tt7286456",2022-06-04,"10","30.1%",361172
"tt7286456",2022-06-04,"9","26.8%",321526
"tt7286456",2022-06-04,"8","22.4%",268513
"tt7286456",2022-06-04,"7","11.1%",133464
"tt7286456",2022-06-04,"6","4.4%",52576
"tt7286456",2022-06-04,"5","1.8%",22113
"tt7286456",2022-06-04,"4","0.9%",10666
"tt7286456",2022-06-04,"3","0.6%",6796
"tt7286456",2022-06-04,"2","0.5%",5589
"tt7286456",2022-06-04,"1","1.3%",15995
"tt1289401",2022-06-04,"10","9.9%",22550
"tt1289401",2022-06-04,"9","3.4%",7762
"tt1289401",2022-06-04,"8","7.7%",17471
"tt1289401",2022-06-04,"7","13.1%",29826
"tt1289401",2022-06-04,"6","16.1%",36607
"tt1289401",2022-06-04,"5","13.1%",29761
"tt1289401",2022-06-04,"4","8.1%",18426
"tt1289401",2022-06-04,"3","5.7%",13051
"tt1289401",2022-06-04,"2","5.1%",11557
"tt1289401",2022-06-04,"1","17.7%",40296
"tt3079380",2022-06-04,"10","8.6%",20964
"tt3079380",2022-06-04,"9","9.0%",21808
"tt3079380",2022-06-04,"8","23.1%",55951
"tt3079380",2022-06-04,"7","31.1%",75391
"tt3079380",2022-06-04,"6","16.0%",38734
"tt3079380",2022-06-04,"5","6.1%",14778
"tt3079380",2022-06-04,"4","2.4%",5762
"tt3079380",2022-06-04,"3","1.3%",3090
"tt3079380",2022-06-04,"2","0.8%",1904
"tt3079380",2022-06-04,"1","1.7%",4204
"tt19885626",2022-06-04,"10","21.6%",2312
"tt19885626",2022-06-04,"9","15.0%",1605
"tt19885626",2022-06-04,"8","27.5%",2954
"tt19885626",2022-06-04,"7","19.9%",2131
"tt19885626",2022-06-04,"6","8.0%",857
"tt19885626",2022-06-04,"5","2.8%",296
"tt19885626",2022-06-04,"4","1.4%",150
"tt19885626",2022-06-04,"3","0.7%",73
"tt19885626",2022-06-04,"2","0.8%",83
"tt19885626",2022-06-04,"1","2.5%",263
"tt9419884",2022-06-04,"10","15.2%",29265
"tt9419884",2022-06-04,"9","11.7%",22516
"tt9419884",2022-06-04,"8","24.9%",47815
"tt9419884",2022-06-04,"7","23.9%",45964
"tt9419884",2022-06-04,"6","11.9%",22907
"tt9419884",2022-06-04,"5","4.9%",9404
"tt9419884",2022-06-04,"4","2.2%",4265
"tt9419884",2022-06-04,"3","1.3%",2452
"tt9419884",2022-06-04,"2","0.9%",1724
"tt9419884",2022-06-04,"1","3.1%",5894
"tt10872600",2022-06-04,"10","38.5%",249146
"tt10872600",2022-06-04,"9","21.9%",141254
"tt10872600",2022-06-04,"8","19.0%",122606
"tt10872600",2022-06-04,"7","10.8%",69687
"tt10872600",2022-06-04,"6","4.3%",27479
"tt10872600",2022-06-04,"5","1.7%",11157
"tt10872600",2022-06-04,"4","0.8%",5108
"tt10872600",2022-06-04,"3","0.5%",3482
"tt10872600",2022-06-04,"2","0.4%",2634
"tt10872600",2022-06-04,"1","2.1%",13893
"tt8466564",2022-06-04,"10","38.1%",14212
"tt8466564",2022-06-04,"9","17.7%",6610
"tt8466564",2022-06-04,"8","14.9%",5551
"tt8466564",2022-06-04,"7","6.4%",2403
"tt8466564",2022-06-04,"6","4.3%",1619
"tt8466564",2022-06-04,"5","3.6%",1340
"tt8466564",2022-06-04,"4","2.8%",1032
"tt8466564",2022-06-04,"3","2.7%",1013
"tt8466564",2022-06-04,"2","2.8%",1053
"tt8466564",2022-06-04,"1","6.7%",2512
"tt13636426",2022-06-04,"10","23.6%",3533
"tt13636426",2022-06-04,"9","16.3%",2439
"tt13636426",2022-06-04,"8","24.7%",3696
"tt13636426",2022-06-04,"7","15.0%",2243
"tt13636426",2022-06-04,"6","7.5%",1123
"tt13636426",2022-06-04,"5","4.4%",666
"tt13636426",2022-06-04,"4","2.3%",350
"tt13636426",2022-06-04,"3","1.8%",266
"tt13636426",2022-06-04,"2","1.4%",205
"tt13636426",2022-06-04,"1","3.1%",465
"tt13820658",2022-06-04,"10","25.0%",3535
"tt13820658",2022-06-04,"9","16.7%",2359
"tt13820658",2022-06-04,"8","22.5%",3185
"tt13820658",2022-06-04,"7","13.1%",1847
"tt13820658",2022-06-04,"6","7.4%",1050
"tt13820658",2022-06-04,"5","4.8%",675
"tt13820658",2022-06-04,"4","2.5%",359
"tt13820658",2022-06-04,"3","2.1%",299
"tt13820658",2022-06-04,"2","1.9%",272
"tt13820658",2022-06-04,"1","3.9%",556
"tt13840822",2022-06-04,"10","33.3%",3865
"tt13840822",2022-06-04,"9","23.5%",2725
"tt13840822",2022-06-04,"8","14.9%",1730
"tt13840822",2022-06-04,"7","7.5%",872
"tt13840822",2022-06-04,"6","5.0%",580
"tt13840822",2022-06-04,"5","3.7%",432
"tt13840822",2022-06-04,"4","2.6%",300
"tt13840822",2022-06-04,"3","2.3%",272
"tt13840822",2022-06-04,"2","1.9%",222
"tt13840822",2022-06-04,"1","5.3%",615
"tt4574334",2022-06-04,"10","34.9%",355341
"tt4574334",2022-06-04,"9","29.5%",300342
"tt4574334",2022-06-04,"8","20.6%",210282
"tt4574334",2022-06-04,"7","8.7%",88416
"tt4574334",2022-06-04,"6","2.9%",29830
"tt4574334",2022-06-04,"5","1.2%",12059
"tt4574334",2022-06-04,"4","0.6%",5674
"tt4574334",2022-06-04,"3","0.4%",3921
"tt4574334",2022-06-04,"2","0.3%",2809
"tt4574334",2022-06-04,"1","1.0%",10185
"tt11043488",2022-06-04,"10","27.7%",3247
"tt11043488",2022-06-04,"9","23.6%",2768
"tt11043488",2022-06-04,"8","27.7%",3243
"tt11043488",2022-06-04,"7","10.7%",1247
"tt11043488",2022-06-04,"6","4.2%",487
"tt11043488",2022-06-04,"5","1.9%",224
"tt11043488",2022-06-04,"4","0.9%",106
"tt11043488",2022-06-04,"3","0.6%",73
"tt11043488",2022-06-04,"2","0.8%",91
"tt11043488",2022-06-04,"1","1.9%",221
"tt11171932",2022-06-04,"10","28.3%",2712
"tt11171932",2022-06-04,"9","24.8%",2382
"tt11171932",2022-06-04,"8","29.6%",2840
"tt11171932",2022-06-04,"7","9.9%",949
"tt11171932",2022-06-04,"6","3.3%",316
"tt11171932",2022-06-04,"5","1.1%",110
"tt11171932",2022-06-04,"4","0.6%",61
"tt11171932",2022-06-04,"3","0.5%",45
"tt11171932",2022-06-04,"2","0.5%",50
"tt11171932",2022-06-04,"1","1.3%",127
"tt11171954",2022-06-04,"10","32.0%",2827
"tt11171954",2022-06-04,"9","30.6%",2704
"tt11171954",2022-06-04,"8","24.3%",2144
"tt11171954",2022-06-04,"7","8.0%",706
"tt11171954",2022-06-04,"6","2.1%",187
"tt11171954",2022-06-04,"5","0.8%",69
"tt11171954",2022-06-04,"4","0.4%",36
"tt11171954",2022-06-04,"3","0.4%",35
"tt11171954",2022-06-04,"2","0.3%",26
"tt11171954",2022-06-04,"1","1.2%",102
"tt11171978",2022-06-04,"10","77.9%",11976
"tt11171978",2022-06-04,"9","14.0%",2149
"tt11171978",2022-06-04,"8","4.4%",672
"tt11171978",2022-06-04,"7","1.5%",230
"tt11171978",2022-06-04,"6","0.6%",89
"tt11171978",2022-06-04,"5","0.3%",52
"tt11171978",2022-06-04,"4","0.2%",27
"tt11171978",2022-06-04,"3","0.1%",15
"tt11171978",2022-06-04,"2","0.2%",26
"tt11171978",2022-06-04,"1","0.9%",132
"tt11172000",2022-06-04,"10","31.8%",2391
"tt11172000",2022-06-04,"9","26.7%",2006
"tt11172000",2022-06-04,"8","27.1%",2036
"tt11172000",2022-06-04,"7","8.7%",651
"tt11172000",2022-06-04,"6","2.5%",185
"tt11172000",2022-06-04,"5","1.0%",74
"tt11172000",2022-06-04,"4","0.5%",37
"tt11172000",2022-06-04,"3","0.3%",23
"tt11172000",2022-06-04,"2","0.3%",21
"tt11172000",2022-06-04,"1","1.2%",91
"tt11172012",2022-06-04,"10","40.2%",2947
"tt11172012",2022-06-04,"9","33.1%",2426
"tt11172012",2022-06-04,"8","16.9%",1240
"tt11172012",2022-06-04,"7","5.2%",382
"tt11172012",2022-06-04,"6","1.6%",114
"tt11172012",2022-06-04,"5","0.8%",59
"tt11172012",2022-06-04,"4","0.4%",28
"tt11172012",2022-06-04,"3","0.3%",21
"tt11172012",2022-06-04,"2","0.3%",23
"tt11172012",2022-06-04,"1","1.3%",97
"tt11172022",2022-06-04,"10","83.9%",12280
"tt11172022",2022-06-04,"9","10.3%",1512
"tt11172022",2022-06-04,"8","2.7%",393
"tt11172022",2022-06-04,"7","1.0%",150
"tt11172022",2022-06-04,"6","0.4%",64
"tt11172022",2022-06-04,"5","0.2%",33
"tt11172022",2022-06-04,"4","0.1%",21
"tt11172022",2022-06-04,"3","0.1%",15
"tt11172022",2022-06-04,"2","0.2%",24
"tt11172022",2022-06-04,"1","0.9%",138
"tt3480822",2022-06-04,"10","8.9%",31653
"tt3480822",2022-06-04,"9","6.3%",22187
"tt3480822",2022-06-04,"8","17.3%",61207
"tt3480822",2022-06-04,"7","29.8%",105374
"tt3480822",2022-06-04,"6","20.8%",73637
"tt3480822",2022-06-04,"5","8.6%",30317
"tt3480822",2022-06-04,"4","3.5%",12217
"tt3480822",2022-06-04,"3","1.7%",6159
"tt3480822",2022-06-04,"2","1.0%",3660
"tt3480822",2022-06-04,"1","2.1%",7484
"tt10160804",2022-06-04,"10","16.1%",25536
"tt10160804",2022-06-04,"9","14.5%",22975
"tt10160804",2022-06-04,"8","30.0%",47582
"tt10160804",2022-06-04,"7","23.2%",36696
"tt10160804",2022-06-04,"6","9.1%",14387
"tt10160804",2022-06-04,"5","3.1%",4904
"tt10160804",2022-06-04,"4","1.2%",1962
"tt10160804",2022-06-04,"3","0.7%",1114
"tt10160804",2022-06-04,"2","0.5%",836
"tt10160804",2022-06-04,"1","1.5%",2418
"tt0078346",2022-06-04,"10","12.5%",21567
"tt0078346",2022-06-04,"9","10.5%",18165
"tt0078346",2022-06-04,"8","25.2%",43457
"tt0078346",2022-06-04,"7","29.3%",50457
"tt0078346",2022-06-04,"6","12.8%",22142
"tt0078346",2022-06-04,"5","4.8%",8304
"tt0078346",2022-06-04,"4","1.9%",3241
"tt0078346",2022-06-04,"3","1.1%",1900
"tt0078346",2022-06-04,"2","0.7%",1182
"tt0078346",2022-06-04,"1","1.2%",2060
"tt0092494",2022-06-04,"10","7.8%",2754
"tt0092494",2022-06-04,"9","5.5%",1939
"tt0092494",2022-06-04,"8","15.5%",5467
"tt0092494",2022-06-04,"7","27.0%",9544
"tt0092494",2022-06-04,"6","23.3%",8251
"tt0092494",2022-06-04,"5","11.2%",3966
"tt0092494",2022-06-04,"4","5.0%",1753
"tt0092494",2022-06-04,"3","2.5%",896
"tt0092494",2022-06-04,"2","1.1%",403
"tt0092494",2022-06-04,"1","1.1%",406
"tt0093260",2022-06-04,"10","5.3%",3154
"tt0093260",2022-06-04,"9","5.5%",3248
"tt0093260",2022-06-04,"8","17.9%",10621
"tt0093260",2022-06-04,"7","35.6%",21097
"tt0093260",2022-06-04,"6","22.4%",13261
"tt0093260",2022-06-04,"5","8.1%",4818
"tt0093260",2022-06-04,"4","2.8%",1674
"tt0093260",2022-06-04,"3","1.2%",699
"tt0093260",2022-06-04,"2","0.5%",320
"tt0093260",2022-06-04,"1","0.7%",435
"tt0071129",2022-06-04,"10","21.1%",9122
"tt0071129",2022-06-04,"9","18.6%",8027
"tt0071129",2022-06-04,"8","27.1%",11738
"tt0071129",2022-06-04,"7","16.6%",7189
"tt0071129",2022-06-04,"6","7.3%",3172
"tt0071129",2022-06-04,"5","3.5%",1531
"tt0071129",2022-06-04,"4","1.7%",743
"tt0071129",2022-06-04,"3","1.0%",428
"tt0071129",2022-06-04,"2","0.8%",367
"tt0071129",2022-06-04,"1","2.1%",918
"tt0047528",2022-06-04,"10","21.6%",13532
"tt0047528",2022-06-04,"9","20.3%",12727
"tt0047528",2022-06-04,"8","27.5%",17211
"tt0047528",2022-06-04,"7","15.4%",9636
"tt0047528",2022-06-04,"6","6.5%",4055
"tt0047528",2022-06-04,"5","3.1%",1931
"tt0047528",2022-06-04,"4","1.4%",891
"tt0047528",2022-06-04,"3","0.9%",549
"tt0047528",2022-06-04,"2","0.8%",471
"tt0047528",2022-06-04,"1","2.6%",1639
"tt0266697",2022-06-04,"10","18.3%",198377
"tt0266697",2022-06-04,"9","24.0%",260409
"tt0266697",2022-06-04,"8","30.2%",328553
"tt0266697",2022-06-04,"7","15.2%",165551
"tt0266697",2022-06-04,"6","5.6%",60645
"tt0266697",2022-06-04,"5","2.4%",26238
"tt0266697",2022-06-04,"4","1.2%",13138
"tt0266697",2022-06-04,"3","0.8%",9116
"tt0266697",2022-06-04,"2","0.7%",7473
