"IMDBCode","DATE","X1","X2","X3"
"tt1745960",2022-06-06,"10","39.2%",41695
"tt1745960",2022-06-06,"9","29.7%",31609
"tt1745960",2022-06-06,"8","20.3%",21613
"tt1745960",2022-06-06,"7","7.2%",7718
"tt1745960",2022-06-06,"6","1.8%",1950
"tt1745960",2022-06-06,"5","0.6%",597
"tt1745960",2022-06-06,"4","0.2%",259
"tt1745960",2022-06-06,"3","0.2%",161
"tt1745960",2022-06-06,"2","0.2%",169
"tt1745960",2022-06-06,"1","0.7%",716
"tt4513678",2022-06-06,"10","14.7%",22390
"tt4513678",2022-06-06,"9","11.7%",17876
"tt4513678",2022-06-06,"8","24.4%",37305
"tt4513678",2022-06-06,"7","25.4%",38823
"tt4513678",2022-06-06,"6","13.4%",20402
"tt4513678",2022-06-06,"5","5.2%",7917
"tt4513678",2022-06-06,"4","2.2%",3353
"tt4513678",2022-06-06,"3","1.1%",1709
"tt4513678",2022-06-06,"2","0.7%",1103
"tt4513678",2022-06-06,"1","1.2%",1861
"tt7286456",2022-06-06,"10","30.1%",361244
"tt7286456",2022-06-06,"9","26.8%",321637
"tt7286456",2022-06-06,"8","22.4%",268644
"tt7286456",2022-06-06,"7","11.1%",133531
"tt7286456",2022-06-06,"6","4.4%",52594
"tt7286456",2022-06-06,"5","1.8%",22126
"tt7286456",2022-06-06,"4","0.9%",10667
"tt7286456",2022-06-06,"3","0.6%",6799
"tt7286456",2022-06-06,"2","0.5%",5593
"tt7286456",2022-06-06,"1","1.3%",16002
"tt1289401",2022-06-06,"10","9.9%",22556
"tt1289401",2022-06-06,"9","3.4%",7761
"tt1289401",2022-06-06,"8","7.7%",17473
"tt1289401",2022-06-06,"7","13.1%",29832
"tt1289401",2022-06-06,"6","16.1%",36615
"tt1289401",2022-06-06,"5","13.1%",29766
"tt1289401",2022-06-06,"4","8.1%",18426
"tt1289401",2022-06-06,"3","5.7%",13054
"tt1289401",2022-06-06,"2","5.1%",11559
"tt1289401",2022-06-06,"1","17.7%",40306
"tt3079380",2022-06-06,"10","8.6%",20963
"tt3079380",2022-06-06,"9","9.0%",21813
"tt3079380",2022-06-06,"8","23.1%",55950
"tt3079380",2022-06-06,"7","31.1%",75400
"tt3079380",2022-06-06,"6","16.0%",38737
"tt3079380",2022-06-06,"5","6.1%",14778
"tt3079380",2022-06-06,"4","2.4%",5763
"tt3079380",2022-06-06,"3","1.3%",3090
"tt3079380",2022-06-06,"2","0.8%",1904
"tt3079380",2022-06-06,"1","1.7%",4204
"tt19885626",2022-06-06,"10","21.2%",2380
"tt19885626",2022-06-06,"9","14.9%",1676
